Number,ItemName,Cnt
0,HPポーション(小),0
1,ドクキエール,0
2,カエレール,0
3,イタクナーイ,0
4,まきびし,0
5,マッスル,0
6,ニゲレール,0
7,ドクキエール,0
8,MPポーション(小),0
9,HPポーション(中),0
10,マヒキエール,0
11,サケレール,0
12,ピューン,0
13,ナンダキノセイカ,0
14,イキカエール(小),0
15,HPポーション(大),0
16,MPポーション(中),0
17,めつぶし,0
18,イキカエール(極),0
19,HPポーション(小)Ex,0
20,ドクキエールEx,0
21,カエレールEx,0
22,イタクナーイEx,0
23,まきびしEx,0
24,マッスルEx,0
25,ニゲレールEx,0
26,ヤミキエールEx,0
27,MPポーション(小)Ex,0
28,HPポーション(中)Ex,0
29,マヒキエールEx,0
30,サケレールEx,0
31,ピューンEx,0
32,ナンダキノセイカEx,0
33,イキカエール(小)Ex,0
34,HPポーション(大)Ex,0
35,MPポーション(中)Ex,0
36,めつぶしEx,0
37,イキカエール(極)Ex,0
